Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia01.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,2f83cdeaaacf92021b1b4b9d94cfdcef
2012-12-24,,54{.}235{.}251{.}129,US,14618,"AMAZON-AES - Amazon.com, Inc.",613816bbbdfab6e05c93c88fa89b8818
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia04.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,985b00875a3fe007b1b8498444c0d227
2012-12-24,iwhuwugy.ru/keybex3.exe,5{.}20{.}60{.}188,LT,21412,CGATES-AS UAB _Cgates_,8485ec8204221232e4b846bbf622da83
2012-12-24,sznaucer-figa.nd.e-wro.pl/obrazki/puzzle/figusia05.exe,217{.}30{.}152{.}177,PL,15857,DIALOG-AS Telefonia Dialog S.A.,aa662beaf8af3c87c4e97450e1048f89
2012-12-24,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,33dd641e5c2eb345c9f824321f785cee
2012-12-24,wt1.97sky.cn/maxtocode.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,ca2b46f4d77bec05e3760b191e1557c5
2012-12-24,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,7e714657e28bf4a393d58fb368c68769
2012-12-24,,62{.}149{.}131{.}226,IT,31034,ARUBA-ASN Aruba S.p.A.,babf998e0309944e909c16c8023c8c5d
2012-12-24,ld2.download-guru.com/index.php?s=&,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,9267ea3d91deb98afbfc8d567685af32
2012-12-24,www.fluechtlingskinder-nuernberg.de/Wp2VfNW5.exe,217{.}160{.}65{.}226,DE,8560,ONEANDONE-AS 1&1 Internet AG,d18cc60bea64477a591429c600b52cdc
2012-12-24,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,f9ba8726d416897885dae2f4dfa12fcc
2012-12-24,absolutefitnessuk.co.uk/wp-content/uploads/true.exe,91{.}103{.}216{.}39,GB,29550,SIMPLYTRANSIT Simply Transit Ltd,370f5ab7286b51dc4ae7cf1e1e704d92
2012-12-24,www.lochter.de/VzbWGU5p/HFvRrYi.exe,91{.}217{.}86{.}12,DE,197269,BTNET Baumann Technologie GmbH,853afb363f50b2093537f0315165b880
2012-12-24,,23{.}23{.}130{.}85,US,14618,"AMAZON-AES - Amazon.com, Inc.",a4b9f588c1af0451df384ce3466a2458
2012-12-24,mytightride.info/missing.exe,97{.}74{.}144{.}118,US,26496,"PAH-INC - GoDaddy.com, Inc.",8234bc6c40bdb6840923d50d17736305
2012-12-24,at-brodbeck.de/qE6.exe,83{.}220{.}144{.}21,DE,25074,MESH-AS MESH GmbH,1cb2ac18ab94c69ca2965dee3d8113d7
2012-12-24,proxyinside.com/ReK4MWr8/C6D9EVnq.exe,176{.}9{.}52{.}83,DE,24940,HETZNER-AS Hetzner Online AG RZ,0c8404c6af47a6a94aa8237cf01d24e5
2012-12-24,derjismutik.info/a041212a/1/f/2.exe,85{.}143{.}166{.}135,RU,56534,"PIRIX-INET-AS PIRIX, ltd",ea89fdec2e49dc77eb8bf48fa251eb59
2012-12-24,down.privacyok.co.kr/20/PVOKinstRBrun.exe,124{.}217{.}218{.}6,KR,38661,HCLC-AS-KR HCLC,bde00da864ae551da18b90db5a878f8c
2012-12-24,s.winggo.co.kr/tabsync/tabsynchelper.dll,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,ef67bdfb8d3cf3e6c0153e0cb31e2b3c
